"chla","temp","bar","nas","przew","ph","namon"
NA,17.5,NA,92.05,205,7.88,0.05
NA,18.9,NA,75.36,186,7.52,0.05
NA,11.8,NA,106.3,124,8.48,0.12
NA,14,NA,105.82,179,8.02,0.05
NA,16.4,NA,80.78,273,7.44,0.05
NA,8.9,NA,109.01,153,8.1,0.05
1.6,12,5,98.42,164,7.7,NA
2.2,20.2,5,110.57,184,8.1,NA
2.9,10.8,0,113.92,159,7.9,NA
2.4,14.6,NA,86.55,NA,8,NA
2,16.2,NA,84.52,NA,7.7,NA
4.6,13,NA,108.26,NA,8.1,NA
4.6,13.2,0,100.15,NA,7.9,0.1
NA,18,0,81.39,NA,7.7,NA
7,14,0,96.12,NA,7.5,0.14
23.6,17,5,NA,217,8.3,NA
NA,NA,NA,NA,NA,NA,NA
2,18,5,NA,191,7.5,0.16
NA,NA,NA,NA,NA,NA,NA
3.6,12,NA,NA,164,8.1,NA
NA,NA,NA,NA,NA,NA,NA
3.6,NA,NA,NA,172,NA,NA
1,NA,NA,NA,173,NA,NA
14.2,NA,NA,NA,167,NA,NA
1.1,12,10,80.78,176,7.4,0.1
2.5,15.2,20,89.68,157,7.6,0.1
25.9,5.4,10,97.53,160,8.1,NA
8.4,14.8,10,81,185,7.2,NA
2.8,19.2,10,98.57,185,7.7,NA
1.1,6.4,20,87.83,129,7.7,NA
NA,4.6,10,113.5,198,7.8,NA
NA,6.6,5,99.7,242,7.9,NA
NA,10.4,5,104.5,231,8,NA
NA,15,0,89.3,205,7.9,NA
NA,19.2,0,88.4,198,7.7,NA
NA,17.4,5,67.9,196,7.3,NA
NA,16.2,10,89.2,157,7.6,NA
NA,12.9,0,79.7,151,7.6,NA
NA,12,10,90.9,150,8,NA
NA,4.3,0,98.9,181,7.8,NA
NA,0.4,5,88.8,186,7.8,NA
NA,1.2,5,99.9,185,7.8,NA
NA,4.5,5,102,204,7.9,NA
NA,9.2,5,100.3,195,7.8,NA
NA,14.5,3,107.8,185,7.8,NA
NA,15.5,20,95.2,178,7.6,NA
NA,19.2,10,116.4,194,7.7,NA
NA,20.9,0,98.8,179,7.7,NA
NA,16.6,10,85,164,7.5,NA
NA,16.7,10,100.4,151,7.7,NA
NA,9.2,3,105.5,179,8,NA
NA,3.3,0,121.1,198,7.9,NA
NA,1.6,0,89.8,196,7.7,NA
NA,0.7,5,113.7,729,8,NA
NA,2.8,0,101,198,7.6,NA
NA,7.4,5,96.7,201,7.6,NA
2.8,12,5,94.6,192,7.4,NA
1.2,14.6,0,83.3,194,7.4,NA
4.2,18,5,86.6,191,7.4,NA
NA,18.3,5,93.8,174,7.5,NA
5,15.5,0,97.2,153,7.7,NA
NA,12.6,10,95.7,144,7.5,NA
10.6,8.9,0,104.7,154,8,NA
NA,1.4,0,90.5,171,7.8,NA
10.3,0.9,5,91.4,203,7.4,NA
NA,1.5,5,100.5,209,7.9,NA
NA,2.2,5,86.6,201,7.8,NA
NA,7.3,5,99.2,199,8.1,NA
NA,11.5,0,73.5,210,7.8,NA
NA,14.6,5,94.2,206,7.8,NA
NA,17.3,5,92.1,193,7.9,NA
NA,19.9,0,96.8,164,7.7,NA
NA,17,30,93.2,151,7.7,NA
NA,16.2,5,113.5,132,7.8,NA
NA,8.8,5,107.3,119,7.8,NA
NA,5.5,10,85.6,125,7.7,NA
NA,1.3,0,86.5,259,7.6,NA
NA,0.8,2.5,94.9,236,8,NA
NA,3.2,5,77.3,229,7.8,NA
NA,5.2,5,90.8,218,7.9,NA
NA,9.6,5,109.4,204,7.8,NA
NA,16.9,15,115,177,8.32,NA
NA,16,10,107.7,157,7.71,NA
NA,17.1,15,83.9,159,7.65,NA
NA,17.7,5,87.8,230,7.68,NA
NA,13.3,0,112.9,187,8.08,NA
NA,10.8,5,110.6,190,7.94,NA
NA,5.5,0,99.1,205,8.12,NA
NA,0.3,5,98.5,199,7.56,NA
NA,1.1,5,92.8,174,7.61,NA
8.6,19,5,87.5,207,8,0.05
2.3,19.5,10,83.5,189,7.67,0.05
7.5,12,0,108.3,122,8.2,0.004
NA,13.6,5,111.8,200,8.24,0.05
NA,18.8,0,89,194,7.92,0.05
NA,9.1,0,104.32,177,8.4,0.05
2.7,12.8,5,90.75,162,7.9,NA
10.3,21.5,5,94.16,202,8.1,0.14
3.5,11.8,0,105.38,162,8.2,NA
2.3,16,NA,87.22,NA,7,NA
2.7,16.2,NA,80.45,NA,7.8,NA
15.9,12.5,NA,102.35,NA,8.1,NA
9.9,13.8,0,90.86,NA,8.2,0.1
5.1,20,0,87,NA,8,NA
15.8,14.8,0,102.73,NA,7.8,NA
15,18,5,NA,216,8.3,NA
NA,NA,NA,NA,NA,NA,NA
5.8,19.6,5,NA,187,7.6,NA
NA,NA,NA,NA,NA,NA,NA
4.2,15,NA,NA,161,7.9,NA
NA,NA,NA,NA,NA,NA,NA
2.9,NA,NA,NA,174,NA,NA
12.9,NA,NA,NA,169,NA,NA
8.5,NA,NA,NA,169,NA,NA
3.7,12.5,20,83.57,181,7.6,0.1
8.6,15.6,10,87.45,155,7.8,0.1
31.8,5.5,10,96.18,175,8.3,NA
7.1,15,10,88.29,184,7.2,NA
4.8,20,10,92.51,178,8.1,NA
0,7,30,89.18,135,7.8,NA
NA,16.9,NA,89.88,274,8.2,NA
NA,20.8,NA,118.62,259,8.6,NA
NA,22.6,NA,104.24,255,8.7,NA
NA,23.4,NA,124.62,276,8.7,NA
NA,22.5,NA,117.92,262,8.4,NA
NA,13.9,NA,96.87,298,8.6,NA
NA,19,15,105.72,268,8.4,NA
7.4,20,20,105.73,266,8.7,NA
NA,18.9,5,93.66,290,8.7,NA
9,12.4,10,116.17,278,8.7,NA
NA,16.1,20,22.36,249,7.6,NA
NA,16,20,40.57,264,7.8,NA
NA,11.2,5,28.28,293,7.6,NA
NA,7,25,84.23,281,8.1,NA
NA,8.3,5,96.3,382,7.6,NA
NA,9,7,89.5,298,8.1,NA
NA,12.9,6,90,295,8,0.11
NA,19.3,4,95.6,288,8.2,0.1
NA,24,5,120.9,280,8.7,NA
NA,22.1,4,110.3,287,8.7,NA
NA,19.6,6,104.5,283,8.7,NA
NA,15.4,7,104.7,278,8.5,0.24
NA,14.9,7,132.1,273,8.9,0.12
NA,6.1,9,126.2,288,8.8,0.09
NA,4,7,101.1,293,8.5,0.06
NA,2.4,8,97.4,289,8.3,NA
NA,6.4,8,87,283,8.2,0.11
NA,8.1,10,83,283,8.1,0.15
NA,12.2,3,86,278,8.1,0.05
NA,17.9,11,94,268,8.4,0.19
NA,21.8,6,97,252,8.5,0.11
NA,24.8,7,137,260,8.9,0.1
NA,17.8,4,123,273,7.9,0.1
NA,20.6,6,126,258,8.7,0.17
NA,15.6,4,115,294,8.6,NA
NA,7.6,4,107,295,8.4,0.06
NA,5.5,3,116,289,8.3,NA
NA,1.2,4,93.2,296,7.8,0.05
NA,7.5,4,88.2,283,8.2,NA
NA,10.7,4,106.6,280,8,NA
NA,13.4,3,94,277,8.4,NA
NA,19.9,4,96.8,264,8.5,NA
NA,27.3,3.5,154.4,247,9,NA
NA,24.1,5,140.1,249,9,NA
NA,20.3,4,117.7,261,8.7,NA
NA,NA,4,NA,252,8.8,NA
NA,3.3,4,91.8,301,8.1,NA
NA,6.2,6,107.6,208,8.5,NA
NA,2.6,8,93.8,250,8.3,NA
NA,4.2,5,86.2,315,8.1,NA
NA,3,20,89.9,310,8.2,NA
NA,8.6,20,92.3,300,8.3,NA
NA,14.1,15,84.4,288,8.4,NA
NA,22,15,107.6,275,8.7,NA
NA,23.3,10,109.6,275,6.7,NA
NA,22.7,15,98.2,270,8.8,NA
NA,20.8,20,101,274,8.6,NA
NA,18.8,10,100.2,262,8.5,NA
NA,9.4,10,109.5,252,8.1,NA
NA,5,10,103.4,234,8,NA
NA,0.5,15,96.4,234,7.8,NA
NA,0.5,10,95,307,7.7,NA
NA,5,15,89.3,293,8.2,NA
NA,1.5,15,69.8,288,8.1,NA
NA,12.7,15,97.7,279,8.1,NA
NA,18.9,15,109.9,263,8.4,NA
NA,23.2,15,118.9,262,7.8,NA
NA,24.4,15,130.7,277,8.8,NA
NA,19.6,5,100.1,288,8.7,NA
NA,16.9,20,112.8,281,8.7,NA
NA,12.4,10,116.3,279,8.8,NA
NA,1.5,20,88.4,267,8.1,NA
NA,1,15,87.2,259,8,NA
NA,12.9,20,82.5,281,8,NA
NA,19.6,15,102.3,265,8.3,NA
NA,20,20,104.5,263,8.8,NA
NA,23.3,15,110.6,284,8.7,NA
NA,20.5,5,80,294,8.7,NA
NA,16.9,20,106.6,284,8.6,NA
NA,12.1,10,107.6,279,8.7,NA
NA,3,15,89.1,262,8,NA
NA,2,20,79.5,267,8,NA
NA,1.5,15,84.8,268,8,NA
NA,5,20,87.7,294,8.2,NA
NA,3,15,69.1,288,8.1,NA
NA,12.8,25,81.6,281,7.9,NA
NA,19.2,20,65.7,271,7.9,NA
NA,20,25,49.5,264,7.9,NA
NA,17.3,25,65.2,258,8,NA
NA,14.5,5,43.2,293,7.7,NA
NA,10.5,20,75.3,286,8.1,NA
NA,8.5,5,93.2,282,8.3,NA
NA,2,15,75.8,277,7.9,NA
NA,2.5,20,85.7,277,8,NA
NA,3,15,82.5,264,8,NA
NA,1.8,5,97,260,8.2,0.02
NA,9.6,5,101,248,8.1,0.13
NA,11.4,10,74,235,8.2,0.02
NA,15.8,10,105,222,8.3,0.04
NA,21.3,10,112,251,8.7,0.02
NA,23.8,10,144,234,9,0.04
NA,21,15,131.3,214,8.5,0.02
NA,14.4,12,112.8,258,8.4,0.1
NA,7.4,15,98.4,256,8,0.07
NA,3.8,10,96,256,8.1,0.02
NA,10.2,5,99,246,8.1,0.1
NA,12.1,10,70,NA,8.2,0.02
NA,14.9,10,83,204,7.7,0.04
NA,18.6,10,68,231,7.6,0.02
NA,16.9,10,68,230,7.5,0.02
NA,20.9,17,113.4,216,8.3,0.1
NA,15.2,10,104.2,258,8.3,0.12
NA,7.6,15,96.7,257,7.9,0.06
NA,3,15,87.7,286,7.9,0.08
NA,2,18,89.7,288,8,0.09
NA,1,18,87.9,276,8,0.08
NA,3.6,10,95,256,8.1,0.02
NA,10.2,5,98,246,8,0.13
NA,12.3,10,76,235,8.1,0.02
NA,14.2,15,81,194,7.8,0.08
NA,16.9,10,67,198,7.5,0.02
NA,13.6,15,68,196,7.5,0.02
NA,13.2,30,104.4,172,7.9,0.2
NA,10,12,85.9,263,7.9,0.08
NA,7.6,20,104.2,262,7.9,0.14
NA,2.5,20,75.5,292,7.8,0.05
NA,3,18,75,278,7.9,0.06
NA,1,18,81.6,273,8,0.09
31.7,17.9,15,107.59,219,8.16,NA
30,19.8,15,96.51,174,8.26,NA
25.7,14.7,5,101.5,223,8.8,NA
NA,12.6,NA,88.46,NA,7.74,0.05
NA,21.5,NA,121.38,NA,8.81,0.05
NA,8.6,NA,96.2,NA,7.7,0.05
NA,18.6,NA,79.18,NA,7.87,0.05
NA,22.8,NA,101.14,NA,9.04,0.05
NA,12.9,NA,98.5,NA,8.32,0.05
NA,13.2,NA,91.57,224,8.25,0.002
NA,22.2,NA,111.52,223,8.01,0.05
NA,10.9,NA,96.06,207,8.3,0.05
44.1,16,5,118.66,196,9.2,NA
28.1,23.1,5,92.35,223,8,NA
8.9,15,5,105.16,205,8.4,NA
14.2,15.8,NA,82.79,NA,7.9,NA
41.4,20.2,NA,91.77,NA,8.3,0.18
11.6,18.2,NA,135.85,NA,9.1,0.14
14.7,14,NA,68.93,NA,7.9,NA
103.7,19,NA,137,NA,9.2,NA
43.5,12,NA,89.14,NA,8.1,NA
18.4,13.8,0,94.72,NA,8.1,0.1
18.7,21.8,5,114.1,NA,8.4,0.1
2,15,0,89.28,NA,7.6,0.1
39.2,15.2,20,107.61,206,8.1,0.2
NA,NA,NA,NA,NA,NA,NA
19,19,40,100.32,191,8,0
NA,NA,NA,NA,NA,NA,NA
19.8,8,20,99.92,209,8.4,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
8.2,16.9,20,94.01,164,7.7,0.22
NA,NA,NA,NA,NA,NA,NA
8.7,24,30,98.69,184,8.4,NA
NA,NA,NA,NA,NA,NA,NA
NA,19.2,NA,97.49,NA,8.26,0.05
NA,22.9,NA,104.82,NA,8.94,0.05
NA,12.4,NA,99.3,NA,8.76,0.06
NA,15,NA,103.17,220,8.41,0.0025
NA,22.6,NA,92.66,222,7.73,0.05
NA,10.9,NA,95.15,206,8.5,0.05
27.3,16.2,0,119.14,195,9.1,NA
34.8,23,5,109.68,222,8.4,NA
26.1,15,5,110.12,206,8.6,NA
10.1,15.6,NA,80.42,NA,7.8,NA
27.5,20,NA,87,NA,8,0.16
19.3,16.6,NA,127.31,NA,8.8,0.18
12.3,14,NA,70.87,NA,7.9,NA
84.6,19,NA,139.16,NA,9.3,NA
30.9,11,NA,90.83,NA,8.1,NA
17.2,14,0,92.23,NA,8,0.14
15.4,21.6,5,102.3,NA,8.2,0.1
